Date,Series,Number,Seller,Tax Provider,Downloaded
2025-05-09,C25TAA,663,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI NGUYỄN PHƯỚC,wintech,No
2025-05-08,C25TPA,4393,VIỆN PASTEUR TP.HCM,buuchinhvt,No
2025-05-08,C25TPT,4317,CÔNG TY CP DƯỢC PHẨM PHÚC THIỆN,matbao,No
2025-05-07,C25TVB,15,CÔNG TY TNHH TƯ VẤN VBP,bkav,No
2025-05-06,C25TVT,4938,CÔNG TY TNHH NỆM VẠN THÀNH,softdreams,No
2025-05-06,K25TAC,82780,CÔNG TY CP DƯỢC LIỆU TRUNG ƯƠNG 2 (PHYTOPHARMA),viettel,No
2025-05-06,K25TAB,78991,CÔNG TY TNHH DKSH VIỆT NAM,buuchinhvt,No
2025-05-05,C25TYT,1739,CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ TRẦN VÀ TRUNG,pmqldoanhnghiep,No
2025-05-05,C25TNP,1557,CÔNG TY CỔ PHẦN NIPPON PAPER VIỆT HOA MỸ,pmqldoanhnghiep,No
2025-05-02,C25TSG,4792,CÔNG TY TNHH SG SAGAWA VIỆT NAM,thaison,No
2025-05-02,K25TAM,7426,CÔNG TY CỔ PHẦN ÁNH DƯƠNG VIỆT NAM,-,No
2025-05-01,K25THA,3521978,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3461725,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3419066,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3419065,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3412646,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3396452,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3396447,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3395400,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3395399,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,3395398,Trung tâm Kinh doanh VNPT thành phố Hồ Chí Minh - Chi nhánh Tổng công ty Dịch vụ Viễn thông,-,No
2025-05-01,K25THA,2716135,TRUNG TÂM KINH DOANH VNPT - HÀ NỘI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,-,No
